english;french;italian;japanese;portuguese;russian;spanish;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
aback;abasourdi;dietro;荒れ狂う;surpresa;сзади;detrás;0;0;0;0;0;0;0;0
abacus;abaque;abaco;そろばん;ábaco;счеты;ábaco;0;0;0;0;0;0;0;1
abandon;abandonner;abbandono;放棄する;abandono;отказаться от;abandonar;0;0;0;1;0;1;0;0
abandoned;abandonné;abbandonato;放棄された;abandonado;заброшенный;abandonado;1;0;0;1;0;1;0;0
abandonment;abandon;abbandono;放棄;abandono;оставление;abandono;1;0;0;1;0;1;1;0
abate;diminuer;ridurre;衰える;diminuir;утихать;disminuir;0;0;0;0;0;0;0;0
abatement;réduction;riduzione;緩和;redução;снижение;disminución;0;0;0;0;0;0;0;0
abba;abba;abba;アバ;abba;авва;Abba;0;0;0;0;0;0;0;0
abbot;abbé;abate;大修道院長;abade;аббат;abad;0;0;0;0;0;0;0;1
abbreviate;abréger;abbreviare;省略する;abreviar;сокращать;abreviar;0;0;0;0;0;0;0;0
abbreviation;abréviation;abbreviazione;略語;abreviação;сокращение;abreviatura;0;0;0;0;0;0;0;0
abdomen;abdomen;addome;腹部;abdômen;брюшная полость;abdomen;0;0;0;0;0;0;0;0
abdominal;abdominal;addominale;腹部;abdominal;абдоминальный;abdominal;0;0;0;0;0;0;0;0
abduction;enlèvement;rapimento;拉致;abdução;отведение;secuestro;0;0;0;1;0;1;1;0
aberrant;aberrant;aberrante;異常な;aberrante;отклоняющийся;aberrante;0;0;0;0;0;0;0;0
aberration;aberration;aberrazione;収差;aberração;аберрация;aberración;0;0;1;0;0;0;0;0
abeyance;situation en suspens;disuso;停止;suspensão;латентность;suspensión;0;0;0;0;0;0;0;0
abhor;abhorrer;aborrire;嫌う;abominar;питать отвращение;aborrecer;1;0;1;1;0;0;0;0
abhorrent;odieux;ripugnante;忌まわしい;abominável;отвратительный;aborrecible;1;0;1;1;0;0;0;0
abide;respecter;rispettare;〜に従う;respeitar;соблюдать;acatar;0;0;0;0;0;0;0;0
ability;aptitude;capacità;能力;habilidade;способность;capacidad;0;0;0;0;0;0;0;0
abject;abject;abietto;暴力;abjeta;униженный;abyecto;0;0;1;0;0;0;0;0
ablation;ablation;ablazione;アブレーション;ablação;абляция;ablación;0;0;0;0;0;0;0;0
ablaze;en feu;in fiamme;燃える;em chamas;пылать;ardiendo;0;0;0;0;0;0;0;0
abnormal;anormal;anormale;異常な;anormal;ненормальный;anormal;0;0;1;0;0;0;0;0
aboard;une planche;a bordo;乗っている;a bordo;на борту;a bordo;0;0;0;0;0;0;0;0
abode;demeure;dimora;住む;morada;местопребывание;morada;0;0;0;0;0;0;0;0
abolish;abolir;abolire;廃止する;abolir;упразднять;abolir;1;0;0;0;0;0;0;0
abolition;abolition;abolizione;廃止;abolição;отмена;abolición;0;0;0;0;0;0;0;0
abominable;abominable;abominevole;忌み嫌う;abominável;отвратительный;abominable;0;0;1;1;0;0;0;0
abomination;abomination;abominio;嫌悪;abominação;мерзость;abominación;1;0;1;1;0;0;0;0
aboriginal;Aborigène;aborigeno;先住民族;aborígene;аборигенный;aborigen;0;0;0;0;0;0;0;0
abort;avorter;abortire;アボート;abortar;выкинуть;abortar;0;0;0;0;0;0;0;0
abortion;Avortement;aborto;中絶;aborto;аборт;aborto;0;0;1;1;0;1;0;0
abortive;abortif;abortivo;不完全な;abortivo;абортивный;abortivo;0;0;0;0;0;1;0;0
abound;abonder;abbondare;たくさん;abundam;изобиловать;abundar;0;0;0;0;0;0;0;0
abovementioned;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
abrasion;abrasion;abrasione;摩耗;abrasão;истирание;abrasión;0;0;0;0;0;0;0;0
abroad;à l'étranger;all'estero;海外;no exterior;за границу;en el extranjero;0;0;0;0;0;0;0;0
abrogate;abroger;abrogare;廃止する;revogar;упразднять;abrogar;0;0;0;0;0;0;0;0
abrupt;brusque;brusco;突然の;abrupto;крутой;abrupto;0;0;0;0;0;0;1;0
abruptly;brusquement;improvvisamente;突然;abruptamente;резко;abruptamente;0;0;0;0;0;0;0;0
abscess;abcès;ascesso;膿瘍;abscesso;абсцесс;absceso;0;0;0;0;0;1;0;0
absence;absence;assenza;不在;ausência;отсутствие;ausencia;0;0;0;1;0;1;0;0
absent;absent;assente;不在;ausente;нет на месте;ausente;0;0;0;0;0;1;0;0
absentee;absent;assente;不在者;ausente;отсутствующий;ausente;0;0;0;0;0;1;0;0
absenteeism;absentéisme;assenteismo;欠勤;absentismo;абсентеизм;absentismo;0;0;0;0;0;0;0;0
absinthe;Absinthe;Assenzio;アブサン;absinto;абсент;Ajenjo;0;0;0;0;0;0;0;0
absolute;absolu;assoluto;絶対の;absoluto;абсолютный;absoluto;0;0;0;0;0;0;0;0
absolution;absolution;assoluzione;赦免;absolvição;отпущение грехов;absolución;0;0;0;0;1;0;0;1
absorbed;absorbé;assorbito;吸収された;absorvido;поглощенный;absorbido;0;0;0;0;0;0;0;0
absorbent;absorbant;assorbente;吸収剤;absorvente;абсорбирующий;absorbente;0;0;0;0;0;0;0;0
absorbing;absorbant;assorbente;吸収する;absorvente;поглощающий;absorbente;0;0;0;0;0;0;0;0
absorption;absorption;assorbimento;吸収;absorção;поглощение;absorción;0;0;0;0;0;0;0;0
abstain;abstention;astenersi;棄権する;abster-se;воздерживаться;abstenerse;0;0;0;0;0;0;0;0
abstention;abstention;astensione;棄権;abstenção;воздержанность;abstención;0;0;0;0;0;0;0;0
abstinence;abstinence;astinenza;禁欲;abstinência;абстиненция;abstinencia;0;0;0;0;0;0;0;0
abstract;abstrait;astratto;抽象;abstrato;Абстрактные;abstracto;0;0;0;0;0;0;0;0
abstraction;abstraction;astrazione;抽象化;abstração;абстракция;abstracción;0;0;0;0;0;0;0;0
absurd;absurde;assurdo;不条理な;absurdo;абсурд;absurdo;0;0;0;0;0;0;0;0
